state	code	severity	method	ic	hasPayload	hasDate	hasDateTime	hasInt32	hasInt64	hasFloat	hasDouble	hasEmpty	hasRange	hasSymbol	hasGreater	hasLower	hasBTrue	hasBFalse	hasSRange	hasLang
success	200	0	GET	0	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	n	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
success	200	0	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	y	n	n	n	n	y	n	
failed	400	1	PUT	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	n	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
failed	400	1	POST	16	y	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	
